# Same as v2 except for the masses w/o vertexing in the selection (w/ vertexing in this dump). 202 selected events.
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa   mass[mm]    mmgMass  mmgDeltaR  kRatio(mm
148031   842   648212558  22.117229  27.323658  42.956573  0.2592227  0.3878321  -0.076284  -2.325853  -2.311842  0.6293228  70.079322  93.808296  0.1297650  0.8753323
148031   770   598516957  18.174366  23.984638  35.942840  -0.400636  -0.356566  0.8783734  1.8287152  1.8337171  -1.101063  69.745300  92.957603  0.0443684  0.9136979
148058    70   116977495  18.671354  17.763296  34.422283  -1.901734  -1.886174  -0.363297  -2.412569  -2.413831  0.7106348  64.115501  92.236480  0.0155322  0.9562428
148058    36    55093049  21.015817  49.168659  30.418771  0.2731976  0.2558003  -0.065406  0.1045548  0.1136029  2.8302030  76.780815  91.765968  0.0195735  0.9581048
148829   229   224750638  46.203102  19.741954  32.663185  -0.481102  0.2528426  -0.428413  -2.880528  -2.820679  1.1565212  49.570793  88.761642  0.7359514  1.0805238
148829    22    19859797  10.891998  35.910530  42.054935  -2.360634  -2.341114  -2.332505  3.1332261  3.1371905  -0.033459  77.555122  89.240150  0.0197018  1.1802834
148829   227   223237579  25.658617  12.648348  35.486953  -2.381510  -2.365671  -1.075932  1.3060981  1.2500267  -1.740030  52.205196  90.948677  0.0585081  1.0078461
148822   208   222719678  15.873135  22.169946  38.482475  -2.074579  -2.081862  -0.917836  0.0619594  0.0401940  -2.931696  68.112236  89.422851  0.0231676  1.0949406
148822   215   230253280  13.566512  19.749908  40.027126  -0.817427  -0.846927  -2.106308  -0.679825  -0.678946  2.1826820  67.291938  87.706955  0.0295465  1.1967788
148822    87    93968882  30.181451  12.653129  30.848651  0.6818518  0.3418372  2.0048530  2.0991520  2.1654157  -1.070387  53.657020   92.02771  0.3463838  0.9724650
148822    89    96289090  15.934934  32.173034  39.346298  -1.823014  -1.819916  -1.572666  1.5072825  1.5029318  -1.749688  71.834945  87.739875  0.0054059  1.2430599
148822   139   149961019  10.559536  37.242694  37.468391  -0.943337  -0.948991  -0.255916  0.7131532  0.7138730  -2.541748  79.262779  89.728149  0.0058212  1.1492958
