# Selection as described in the Egamma talk from 20 Jan 2010 confId=121624
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa  twoBodyMa  treeBodyM  mmgDeltaR  kRatio
146644  2155  1510867699  7.2699675  31.798900  28.205976  -0.215128  -0.211548  -1.951799  -2.010128  -2.004120  1.2761590  84.086074  93.208862  0.0069666  0.7695634 
146713    43    44456578  5.9831490  21.290597  13.612564  -1.435588  -1.452277  1.0069960  2.9993350  3.0657517  0.0864363  63.064319  71.254943  0.0684614  3.9431314 
146713   140   141333839  12.965252  18.414283  53.925510  -0.339517  -0.340888  -0.655265  0.8251290  0.8307235  -2.504892  63.451721  82.839576  0.0057575  1.5122151 
146713   165   167068053  13.911831  27.038492  31.429758  0.6705009  0.6771726  2.0561134  2.0931732  2.0848367  -1.297734  72.235351  88.935974  0.0107386  1.1506767 
146713   176   178251897  7.8327765  21.470689  24.390573  -0.340225  -0.501967  1.7527339  -2.798399  -2.770901  0.3446516  78.043579  89.692176  0.1640164  1.1384378 
146710   119   130539804  11.681723  17.219034  32.553211  -0.235152  -0.561731  1.4382687  0.4119179   1.082497  -2.378623  72.616821  90.496383  0.7457039  1.0430610 
146710   170   186946122  5.6199269  17.128336  29.665813  1.4019316  1.1720932  -0.158106  0.7712830  0.6266998  -2.577884  55.291648  64.932136  0.2714608  4.5366176 
146710   177   194481150  8.2194700  34.431812  38.347892  0.9815820  0.6664398  1.7896857  1.8739026  1.4677147  -1.657874  84.540855  93.071502  0.5140989  0.7708962 
146710   188   206513430  17.843250  23.096628  39.511405  -0.729540  -0.678678  -1.111808  -0.152575  -0.022104  3.1124889  61.843181  82.166786  0.1401085  1.5343024 
146712    60    62585226  7.8612270  34.321727  44.579505  0.3592570  0.1930439  -0.461571  -1.324856  -1.389631  1.7843673  82.550910  92.063041  0.1783649  0.9034136 
146712    65    67845103  10.832615  32.387104  37.226718  1.5633078  2.0266456  1.0359547  -2.493134  -3.114805  0.2252745  76.718780  88.012916  0.7752065  1.3057803 
146715    75    70765409  17.657184  25.469249  33.599765  -0.803292  -0.776661  0.3201080  2.7389793  2.7303931  -0.239928  67.429473  87.951538  0.0278020  1.1817976 
146715     8     6889088  7.1795740  21.391565  33.727901  -1.403338  -0.873275  -0.505817  2.9756591  3.0246048  -0.218175  54.573307  64.798522  0.5323558  4.3723747 
146715    32    29732955  8.9911928  35.400203  43.185241  2.3582804  1.8094937  2.1566956  2.0587534  1.5597565  -1.385407  78.754943  88.955574  0.7415551  1.2350335 
146715    95    90514970  8.9831113  35.880531  45.657493  -1.186661  -1.073224  -0.675995  -1.051132  -0.925936  1.9974117  82.345230  92.460434  0.1687868  0.8678011 
146724    23    18530921  126.53571  45.621376  19.446020  1.8865408  1.9344518  0.5252681  -2.907497  -2.898624  -2.666367  45.714565  86.893539  0.0488295  1.1400362 
146724   136   108299450  21.559692  16.059965  52.006202  0.3072001  0.3639653  0.9717562  -3.022886  -2.655438  0.8109338  60.185497  90.630188  0.3718188  1.0220726 
146804   251   192236681   8.899827  32.005085  40.179016  -1.104462  -1.172410  -2.110847  2.0254974  2.0479767  -1.348052  78.670784  89.283737  0.0714843  1.1927596 
146804   375   333842362  5.2712717  14.375762  15.175672  0.9740380  1.2005084  -2.170420  0.3158269  0.3063335  -2.994668  82.359130  93.879280  0.2268453  0.7546457 
146804   227   164771580  5.6233778  14.169384  44.867324  0.8300762  0.8280048  -1.171953  1.9045981  1.8029584  -0.559284  75.128776  89.050491  0.1017329  1.1685241 
146804   750   726700578  5.7982754  29.885091  30.342174  -1.317580  -1.656490  0.1084069  0.3961620  0.3345538  -3.010450  84.852188  91.285202  0.3444756  0.9842822 
146804   415   378419003  18.875785  17.936348  33.085144  0.1635927  0.1064743  1.6635499  0.4145353  0.3602494  -3.049396  63.781333  90.442649  0.0788926  1.0329065 
146804   294   241961487  14.821450  27.614810  37.407245  -0.070526  -0.008478  0.9871791  -0.937820  -0.674860  2.3426818  72.181533  90.089881  0.2702037  1.0684757 
146804   318   269515665  8.2312116  29.765363  49.416545  1.5545465  0.6307151  -0.231175  2.3042795  2.6633238  -0.342003  83.709922  102.30483  0.9913193  0.3781019 
